,attraction_name,attraction_link,attraction_rating,attraction_type,attraction_rank,attraction_duration
0,Central Park,https://www.tripadvisor.com/Attraction_Review-g60763-d105127-Reviews-Central_Park-New_York_City_New_York.html,4.5,Landmark,1,3.0
1,The National 9/11 Memorial & Museum,https://www.tripadvisor.com/Attraction_Review-g60763-d1687489-Reviews-The_National_9_11_Memorial_Museum-New_York_City_New_York.html,4.5,Museum,2,2.5
2,The Metropolitan Museum of Art,https://www.tripadvisor.com/Attraction_Review-g60763-d105125-Reviews-The_Metropolitan_Museum_of_Art-New_York_City_New_York.html,5.0,Museum,3,2.5
3,Top of the Rock,https://www.tripadvisor.com/Attraction_Review-g60763-d587661-Reviews-Top_of_the_Rock-New_York_City_New_York.html,4.5,Landmark,4,1.5
4,Empire State Building,https://www.tripadvisor.com/Attraction_Review-g60763-d104365-Reviews-Empire_State_Building-New_York_City_New_York.html,4.5,Landmark,5,1.5
5,Brooklyn Bridge,https://www.tripadvisor.com/Attraction_Review-g60763-d102741-Reviews-Brooklyn_Bridge-New_York_City_New_York.html,4.5,Landmark,6,1.0
6,Manhattan Skyline,https://www.tripadvisor.com/Attraction_Review-g60763-d267031-Reviews-Manhattan_Skyline-New_York_City_New_York.html,5.0,Landmark,7,0.5
7,The High Line,https://www.tripadvisor.com/Attraction_Review-g60763-d519474-Reviews-The_High_Line-New_York_City_New_York.html,4.5,Landmark,8,2.5
8,Statue of Liberty,https://www.tripadvisor.com/Attraction_Review-g60763-d103887-Reviews-Statue_of_Liberty-New_York_City_New_York.html,4.5,Landmark,9,3.0
9,One World Observatory,https://www.tripadvisor.com/Attraction_Review-g60763-d8072300-Reviews-One_World_Observatory-New_York_City_New_York.html,4.5,Landmark,10,1.5
10,Grand Central Terminal,https://www.tripadvisor.com/Attraction_Review-g60763-d103371-Reviews-Grand_Central_Terminal-New_York_City_New_York.html,4.5,Landmark,11,1.5
11,Broadway,https://www.tripadvisor.com/Attraction_Review-g60763-d143361-Reviews-Broadway-New_York_City_New_York.html,4.5,Landmark,12,0.5
12,New York Public Library,https://www.tripadvisor.com/Attraction_Review-g60763-d116236-Reviews-New_York_Public_Library-New_York_City_New_York.html,4.5,Museum,13,0.5
13,The Met Cloisters,https://www.tripadvisor.com/Attraction_Review-g60763-d106609-Reviews-The_Met_Cloisters-New_York_City_New_York.html,4.5,Landmark,14,3.0
14,Rockefeller Center,https://www.tripadvisor.com/Attraction_Review-g60763-d105123-Reviews-Rockefeller_Center-New_York_City_New_York.html,4.5,Landmark,15,1.5
15,"Intrepid Sea, Air & Space Museum",https://www.tripadvisor.com/Attraction_Review-g60763-d143358-Reviews-Intrepid_Sea_Air_Space_Museum-New_York_City_New_York.html,4.5,Museum,16,3.0
16,Radio City Music Hall,https://www.tripadvisor.com/Attraction_Review-g60763-d110164-Reviews-Radio_City_Music_Hall-New_York_City_New_York.html,4.5,Landmark,17,2.5
17,Bryant Park,https://www.tripadvisor.com/Attraction_Review-g60763-d136347-Reviews-Bryant_Park-New_York_City_New_York.html,4.5,Parks,18,2.5
18,Ellis Island,https://www.tripadvisor.com/Attraction_Review-g60763-d104370-Reviews-Ellis_Island-New_York_City_New_York.html,4.5,Landmark,19,0.5
19,Greenwich Village,https://www.tripadvisor.com/Attraction_Review-g60763-d143367-Reviews-Greenwich_Village-New_York_City_New_York.html,4.5,Landmark,20,0.5
20,Staten Island Ferry,https://www.tripadvisor.com/Attraction_Review-g60763-d143363-Reviews-Staten_Island_Ferry-New_York_City_New_York.html,4.5,Neighborhoods,21,0.5
21,American Museum of Natural History,https://www.tripadvisor.com/Attraction_Review-g60763-d210108-Reviews-American_Museum_of_Natural_History-New_York_City_New_York.html,4.5,Museum,22,3.0
22,Times Square,https://www.tripadvisor.com/Attraction_Review-g60763-d110145-Reviews-Times_Square-New_York_City_New_York.html,4.5,Landmark,23,1.5
23,St. Patrick's Cathedral,https://www.tripadvisor.com/Attraction_Review-g60763-d136053-Reviews-St_Patrick_s_Cathedral-New_York_City_New_York.html,4.5,Landmark,24,0.5
24,Chelsea Market,https://www.tripadvisor.com/Attraction_Review-g60763-d288031-Reviews-Chelsea_Market-New_York_City_New_York.html,4.5,Neighborhoods,25,1.0
25,The Oculus,https://www.tripadvisor.com/Attraction_Review-g60763-d10340693-Reviews-The_Oculus-New_York_City_New_York.html,4.5,Landmark,26,1.0
26,The Museum of Modern Art (MoMA),https://www.tripadvisor.com/Attraction_Review-g60763-d105126-Reviews-The_Museum_of_Modern_Art_MoMA-New_York_City_New_York.html,4.5,Museum,27,2.5
27,Ellis Island Immigration Museum,https://www.tripadvisor.com/Attraction_Review-g60763-d1597190-Reviews-Ellis_Island_Immigration_Museum-New_York_City_New_York.html,4.5,Museum,28,0.5
28,Madison Square Garden,https://www.tripadvisor.com/Attraction_Review-g60763-d275371-Reviews-Madison_Square_Garden-New_York_City_New_York.html,4.5,Landmark,29,0.5
29,Gershwin Theater,https://www.tripadvisor.com/Attraction_Review-g60763-d505289-Reviews-Gershwin_Theater-New_York_City_New_York.html,4.5,Art,30,0.5
30,One World Trade Center,https://www.tripadvisor.com/Attraction_Review-g60763-d11744535-Reviews-One_World_Trade_Center-New_York_City_New_York.html,4.5,Landmark,31,0.5
31,World Trade Center Station (PATH),https://www.tripadvisor.com/Attraction_Review-g60763-d11727122-Reviews-World_Trade_Center_Station_PATH-New_York_City_New_York.html,4.5,Neighborhoods,32,0.5
32,West Village,https://www.tripadvisor.com/Attraction_Review-g60763-d5550170-Reviews-West_Village-New_York_City_New_York.html,4.5,Neighborhoods,33,0.5
33,New York City Ballet (NYCB),https://www.tripadvisor.com/Attraction_Review-g60763-d555633-Reviews-New_York_City_Ballet_NYCB-New_York_City_New_York.html,4.5,Art,34,0.5
34,Lincoln Center for the Performing Arts,https://www.tripadvisor.com/Attraction_Review-g60763-d136028-Reviews-Lincoln_Center_for_the_Performing_Arts-New_York_City_New_York.html,4.5,Art,35,2.5
35,Woolworth Building,https://www.tripadvisor.com/Attraction_Review-g60763-d104368-Reviews-Woolworth_Building-New_York_City_New_York.html,4.5,Neighborhoods,36,1.5
36,Conservatory Garden,https://www.tripadvisor.com/Attraction_Review-g60763-d272517-Reviews-Conservatory_Garden-New_York_City_New_York.html,4.5,Parks,37,0.5
37,Rubin Museum of Art,https://www.tripadvisor.com/Attraction_Review-g60763-d548703-Reviews-Rubin_Museum_of_Art-New_York_City_New_York.html,4.5,Museum,38,1.5
38,Lower Manhattan,https://www.tripadvisor.com/Attraction_Review-g60763-d607078-Reviews-Lower_Manhattan-New_York_City_New_York.html,4.5,Neighborhoods,39,0.5
39,Tenement Museum,https://www.tripadvisor.com/Attraction_Review-g60763-d104369-Reviews-Tenement_Museum-New_York_City_New_York.html,4.5,Museum,40,1.5
40,Fort Tryon Park,https://www.tripadvisor.com/Attraction_Review-g60763-d2305249-Reviews-Fort_Tryon_Park-New_York_City_New_York.html,4.5,Parks,41,0.5
41,Gulliver's Gate,https://www.tripadvisor.com/Attraction_Review-g60763-d12291624-Reviews-Gulliver_s_Gate-New_York_City_New_York.html,4.5,Museum,42,1.5
42,Merchant's House Museum,https://www.tripadvisor.com/Attraction_Review-g60763-d285699-Reviews-Merchant_s_House_Museum-New_York_City_New_York.html,4.5,Museum,43,1.5
43,Broadway Theatre,https://www.tripadvisor.com/Attraction_Review-g60763-d2155542-Reviews-Broadway_Theatre-New_York_City_New_York.html,4.5,Art,44,0.5
44,Times Square Church,https://www.tripadvisor.com/Attraction_Review-g60763-d3339075-Reviews-Times_Square_Church-New_York_City_New_York.html,4.5,Religious Sites,45,0.5
45,Fifth Avenue,https://www.tripadvisor.com/Attraction_Review-g60763-d110144-Reviews-Fifth_Avenue-New_York_City_New_York.html,4.5,Landmark,46,0.5
46,Chrysler Building,https://www.tripadvisor.com/Attraction_Review-g60763-d104360-Reviews-Chrysler_Building-New_York_City_New_York.html,4.5,Neighborhoods,47,0.5
47,Circle In The Square Theatre,https://www.tripadvisor.com/Attraction_Review-g60763-d548875-Reviews-Circle_In_The_Square_Theatre-New_York_City_New_York.html,4.5,Art,48,0.5
48,The Roosevelt Island Tramway,https://www.tripadvisor.com/Attraction_Review-g60763-d548557-Reviews-The_Roosevelt_Island_Tramway-New_York_City_New_York.html,4.5,Neighborhoods,49,0.5
49,Upper West Side,https://www.tripadvisor.com/Attraction_Review-g60763-d143368-Reviews-Upper_West_Side-New_York_City_New_York.html,4.5,Neighborhoods,50,0.5
50,Hudson River Park,https://www.tripadvisor.com/Attraction_Review-g60763-d4545669-Reviews-Hudson_River_Park-New_York_City_New_York.html,4.5,Parks,51,0.5
51,Beacon Theatre,https://www.tripadvisor.com/Attraction_Review-g60763-d535076-Reviews-Beacon_Theatre-New_York_City_New_York.html,4.5,Art,52,0.5
52,CSI: The Experience,https://www.tripadvisor.com/Attraction_Review-g60763-d2414461-Reviews-CSI_The_Experience-New_York_City_New_York.html,3.0,Museum,53,0.5
53,Frick Collection,https://www.tripadvisor.com/Attraction_Review-g60763-d107466-Reviews-Frick_Collection-New_York_City_New_York.html,5.0,Museum,54,0.5
54,SoHo,https://www.tripadvisor.com/Attraction_Review-g60763-d143362-Reviews-SoHo-New_York_City_New_York.html,4.5,Neighborhoods,55,1.0
55,The Morgan Library & Museum,https://www.tripadvisor.com/Attraction_Review-g60763-d107356-Reviews-The_Morgan_Library_Museum-New_York_City_New_York.html,4.5,Museum,56,1.5
56,Washington Square Park,https://www.tripadvisor.com/Attraction_Review-g60763-d136354-Reviews-Washington_Square_Park-New_York_City_New_York.html,4.5,Parks,57,0.5
57,Ground Zero Museum Workshop,https://www.tripadvisor.com/Attraction_Review-g60763-d626630-Reviews-Ground_Zero_Museum_Workshop-New_York_City_New_York.html,5.0,Museum,58,1.5
58,Flatiron Building,https://www.tripadvisor.com/Attraction_Review-g60763-d104363-Reviews-Flatiron_Building-New_York_City_New_York.html,4.5,Neighborhoods,59,0.5
59,United Nations Headquarters,https://www.tripadvisor.com/Attraction_Review-g60763-d108686-Reviews-United_Nations_Headquarters-New_York_City_New_York.html,4.0,Landmark,60,0.5
60,St. Paul's Chapel,https://www.tripadvisor.com/Attraction_Review-g60763-d105055-Reviews-St_Paul_s_Chapel-New_York_City_New_York.html,4.5,Religious Sites,61,1.0
61,Battery Park,https://www.tripadvisor.com/Attraction_Review-g60763-d136416-Reviews-Battery_Park-New_York_City_New_York.html,4.0,Parks,62,0.5
62,Harlem,https://www.tripadvisor.com/Attraction_Review-g60763-d143388-Reviews-Harlem-New_York_City_New_York.html,4.0,Neighborhoods,63,0.5
63,Neue Galerie,https://www.tripadvisor.com/Attraction_Review-g60763-d258699-Reviews-Neue_Galerie-New_York_City_New_York.html,4.5,Museum,64,0.5
64,Museum of the City of New York,https://www.tripadvisor.com/Attraction_Review-g60763-d116229-Reviews-Museum_of_the_City_of_New_York-New_York_City_New_York.html,4.0,Museum,65,0.5
65,Apollo Theater,https://www.tripadvisor.com/Attraction_Review-g60763-d136081-Reviews-Apollo_Theater-New_York_City_New_York.html,4.5,Art,66,0.5
66,Cathedral Church of Saint John the Divine,https://www.tripadvisor.com/Attraction_Review-g60763-d136029-Reviews-Cathedral_Church_of_Saint_John_the_Divine-New_York_City_New_York.html,4.5,Religious Sites,67,1.0
67,Trinity Church,https://www.tripadvisor.com/Attraction_Review-g60763-d105054-Reviews-Trinity_Church-New_York_City_New_York.html,4.5,Religious Sites,68,1.5
68,Majestic Theatre,https://www.tripadvisor.com/Attraction_Review-g60763-d548873-Reviews-Majestic_Theatre-New_York_City_New_York.html,4.5,Art,69,0.5
69,New-York Historical Society Museum & Library,https://www.tripadvisor.com/Attraction_Review-g60763-d136143-Reviews-New_York_Historical_Society_Museum_Library-New_York_City_New_York.html,4.5,Museum,70,1.5
70,Brookfield Place - BFPL,https://www.tripadvisor.com/Attraction_Review-g60763-d207715-Reviews-Brookfield_Place_BFPL-New_York_City_New_York.html,4.5,Neighborhoods,71,0.5
